parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	Bias-adjusted SoS	0.3928	0.0881	0.1901	0.084	0.2007	0.1013
1	DC-MASE	0.4258	0.1034	0.1775	0.0954	0.1836	0.1144
1	MASE	0.4255	0.1029	0.1787	0.095	0.1839	0.1144
1	OLMF	0.3466	0.0617	0.2527	0.0701	0.232	0.0792
1	Sum A	0.4255	0.1029	0.1787	0.095	0.1839	0.1144
1	mFROST	0.4279	0.1084	0.1749	0.1059	0.183	0.1238
2	Bias-adjusted SoS	0.3018	0.109	0.3286	0.1275	0.3606	0.1479
2	DC-MASE	0.3946	0.0966	0.2187	0.107	0.2234	0.1242
2	MASE	0.3899	0.091	0.2233	0.1021	0.2286	0.1161
2	OLMF	0.2009	0.0535	0.4935	0.0735	0.4847	0.1056
2	Sum A	0.1889	0.0792	0.4831	0.1076	0.5338	0.1229
2	mFROST	0.3187	0.1236	0.3358	0.1427	0.3592	0.1665
3	Bias-adjusted SoS	0.2575	0.1188	0.4115	0.1508	0.4479	0.174
3	DC-MASE	0.3337	0.1006	0.2928	0.1141	0.307	0.1364
3	MASE	0.3335	0.1035	0.3047	0.1182	0.3182	0.1409
3	OLMF	0.1558	0.0701	0.5938	0.0975	0.5916	0.1391
3	Sum A	0.1106	0.0254	0.6322	0.0665	0.6949	0.0638
3	mFROST	0.2176	0.1208	0.4955	0.1362	0.5329	0.1657
5	Bias-adjusted SoS	0.2089	0.1319	0.528	0.1861	0.5581	0.209
5	DC-MASE	0.2217	0.0896	0.4422	0.1237	0.4784	0.1428
5	MASE	0.2389	0.1135	0.4371	0.1568	0.4686	0.1821
5	OLMF	0.09	0.0686	0.747	0.1153	0.7555	0.1528
5	Sum A	0.0555	0.018	0.7911	0.0593	0.8398	0.0499
5	mFROST	0.1004	0.0808	0.6979	0.1188	0.7481	0.1326
7	Bias-adjusted SoS	0.1864	0.1466	0.5893	0.2216	0.6128	0.2407
7	DC-MASE	0.1537	0.0697	0.5609	0.1133	0.6082	0.1284
7	MASE	0.1749	0.1038	0.5483	0.1518	0.5903	0.1747
7	OLMF	0.0634	0.0709	0.818	0.1272	0.829	0.1597
7	Sum A	0.0342	0.0119	0.8628	0.0422	0.8995	0.0339
7	mFROST	0.0601	0.048	0.7896	0.0842	0.8363	0.0848
10	Bias-adjusted SoS	0.1699	0.1534	0.6514	0.2313	0.6615	0.2506
10	DC-MASE	0.1002	0.038	0.6726	0.0901	0.7244	0.0913
10	MASE	0.1145	0.082	0.6705	0.1346	0.7144	0.1489
10	OLMF	0.0725	0.1173	0.85	0.1778	0.8445	0.2157
10	Sum A	0.0158	0.0094	0.9333	0.0382	0.953	0.0275
10	mFROST	0.0294	0.0137	0.8805	0.0517	0.9134	0.0394
15	Bias-adjusted SoS	0.1253	0.1451	0.736	0.2381	0.7399	0.2509
15	DC-MASE	0.0575	0.0256	0.7906	0.0768	0.8351	0.0694
15	MASE	0.0611	0.0568	0.8034	0.1121	0.8381	0.1178
15	OLMF	0.0544	0.1182	0.9097	0.163	0.9004	0.2009
15	Sum A	0.0051	0.006	0.9779	0.0258	0.9848	0.0179
15	mFROST	0.0134	0.0083	0.9429	0.0347	0.96	0.0246
20	Bias-adjusted SoS	0.1276	0.1589	0.7449	0.2612	0.7432	0.2722
20	DC-MASE	0.0401	0.0183	0.8476	0.0606	0.8832	0.0512
20	MASE	0.0451	0.0609	0.8602	0.1069	0.8854	0.1128
20	OLMF	0.0621	0.1272	0.9043	0.1808	0.8876	0.2205
20	Sum A	0.0025	0.004	0.9888	0.0175	0.9924	0.012
20	mFROST	0.0075	0.0067	0.9677	0.0284	0.9777	0.02
30	Bias-adjusted SoS	0.1121	0.1607	0.7838	0.2668	0.7792	0.2779
30	DC-MASE	0.0196	0.0119	0.9203	0.0435	0.9419	0.0348
30	MASE	0.0251	0.0535	0.9248	0.0872	0.939	0.0941
30	OLMF	0.0708	0.1374	0.9066	0.1803	0.8823	0.228
30	Sum A	6e-04	0.0025	0.9973	0.0113	0.9982	0.0076
30	mFROST	0.0033	0.0048	0.9857	0.0208	0.9902	0.0143
40	Bias-adjusted SoS	0.1051	0.162	0.7966	0.2715	0.7938	0.2804
40	DC-MASE	0.0123	0.0116	0.9496	0.0406	0.9636	0.0331
40	MASE	0.0186	0.0535	0.9507	0.0824	0.9585	0.088
40	OLMF	0.084	0.1462	0.891	0.1903	0.8622	0.2401
40	Sum A	1e-04	9e-04	0.9994	0.0042	0.9996	0.0028
40	mFROST	0.001	0.0026	0.9955	0.0115	0.997	0.0077
50	Bias-adjusted SoS	0.0993	0.1528	0.8049	0.2603	0.8011	0.2707
50	DC-MASE	0.0084	0.0093	0.9652	0.0339	0.975	0.0268
50	MASE	0.0145	0.049	0.9637	0.0782	0.9684	0.0834
50	OLMF	0.0877	0.1468	0.8863	0.1881	0.8553	0.2404
50	Sum A	1e-04	7e-04	0.9997	0.003	0.9998	0.002
50	mFROST	4e-04	0.0016	0.9982	0.0071	0.9988	0.0048
