scenarioB	scenarioT	parameter	graph-tool	FROST_MF	FROST	FROST_DCMASE	US	MF	OLMF	DC-MASE	Sum A	Bias-adjusted SoS	MASE
Same θ	Same D	1	0.570466666666667	0.424733333333333	0.430333333333333	0.4226	0.4542	0.4586	0.347733333333333	0.4258	0.425533333333333	0.3928	0.425533333333333
Same θ	Same D	2	0.357466666666667	0.3348	0.326666666666667	0.3602	0.455733333333333	0.4594	0.206266666666667	0.3946	0.188933333333333	0.3018	0.389933333333333
Same θ	Same D	3	0.233933333333333	0.240466666666667	0.235	0.2646	0.406733333333333	0.411066666666667	0.159666666666667	0.333666666666667	0.1106	0.257466666666667	0.333466666666667
Same θ	Same D	5	0.166733333333333	0.107066666666667	0.111866666666667	0.1232	0.331733333333333	0.337	0.102133333333333	0.221666666666667	0.0555333333333333	0.209066666666667	0.238933333333333
Same θ	Same D	7	0.1622	0.0632666666666667	0.0607333333333333	0.0723333333333333	0.2628	0.280333333333333	0.0839333333333333	0.153666666666667	0.0342	0.1864	0.174866666666667
Same θ	Same D	10	0.1378	0.0293333333333333	0.0299333333333333	0.0316	0.2082	0.2148	0.0766666666666667	0.1002	0.0158	0.169866666666667	0.114533333333333
Same θ	Same D	15	0.131666666666667	0.0136666666666667	0.0137333333333333	0.0160666666666667	0.1448	0.1488	0.0398666666666667	0.0575333333333333	0.00506666666666667	0.125266666666667	0.0610666666666667
Same θ	Same D	20	0.133733333333333	0.00753333333333333	0.00753333333333333	0.0127333333333333	0.105533333333333	0.106466666666667	0.0664666666666667	0.0401333333333333	0.00253333333333333	0.1276	0.0451333333333333
Same θ	Same D	30	0.164133333333333	0.0032	0.0032	0.00593333333333333	0.0682	0.0674666666666667	0.0536666666666667	0.0196	6e-04	0.112133333333333	0.0251333333333333
Same θ	Same D	40	0.149266666666667	0.001	0.001	0.00706666666666667	0.0456666666666667	0.0440666666666667	0.0926666666666666	0.0122666666666667	0.000133333333333333	0.105133333333333	0.0186
Same θ	Same D	50	0.1382	4e-04	0.000466666666666667	0.0036	0.0313333333333333	0.0320666666666667	0.0879333333333333	0.0084	6.66666666666667e-05	0.0992666666666667	0.0145333333333333
Same θ	Different D	1	0.562866666666667	0.424733333333333	0.430333333333333	0.4226	0.4542	0.4586	0.347733333333333	0.4258	0.425533333333333	0.3928	0.425533333333333
Same θ	Different D	2	0.297066666666667	0.353266666666667	0.353933333333333	0.332933333333333	0.469	0.4802	0.240066666666667	0.392266666666667	0.202133333333333	0.429866666666667	0.372266666666667
Same θ	Different D	3	0.108466666666667	0.257333333333333	0.2458	0.236466666666667	0.408466666666667	0.425933333333333	0.193933333333333	0.344333333333333	0.0729333333333333	0.577733333333333	0.308333333333333
Same θ	Different D	5	0.0214	0.081	0.0950666666666667	0.0749333333333333	0.329	0.349666666666667	0.0674666666666667	0.227933333333333	0.0184	0.4938	0.192066666666667
Same θ	Different D	7	0.00806666666666667	0.0247333333333333	0.0162	0.0186666666666667	0.247866666666667	0.2592	0.0580666666666667	0.1322	0.00333333333333333	0.317533333333333	0.0828666666666667
Same θ	Different D	10	0.0074	0.0108	0.00773333333333333	0.00466666666666667	0.178333333333333	0.179066666666667	0.044	0.0738666666666667	0.000533333333333333	0.0704666666666667	0.0477333333333333
Same θ	Different D	15	0.000133333333333333	0.000266666666666667	0.000266666666666667	2e-04	0.0992666666666667	0.104666666666667	0.0633333333333333	0.0252	6.66666666666667e-05	0.00253333333333333	0.0086
Same θ	Different D	20	0.000133333333333333	0	0	0.00333333333333334	0.0621333333333333	0.0629333333333333	0.06	0.0136666666666667	0	6.66666666666667e-05	0.00253333333333333
Same θ	Different D	30	0	0	0	0	0.0226666666666667	0.0230666666666667	0.0566666666666667	0.00246666666666667	0	0	0.000266666666666667
Same θ	Different D	40	0	0	0	0	0.00833333333333333	0.00906666666666667	0.0533333333333333	0.000266666666666667	0	0	0
Same θ	Different D	50	0	0	0	0.00333333333333333	0.00246666666666667	0.0022	0.07	0.0034	0	0	0
Same θ	Alternating D	1	0.573133333333333	0.4318	0.435266666666667	0.43	0.4744	0.469266666666667	0.368866666666667	0.431933333333333	0.430333333333333	0.418133333333333	0.4304
Same θ	Alternating D	2	0.401933333333333	0.369866666666667	0.373466666666667	0.341466666666667	0.482066666666667	0.480733333333333	0.486933333333333	0.405933333333333	0.430933333333333	0.4884	0.365
Same θ	Alternating D	3	0.246733333333333	0.2578	0.251466666666667	0.229066666666667	0.405066666666667	0.411466666666667	0.451533333333333	0.335866666666667	0.355533333333333	0.49	0.305866666666667
Same θ	Alternating D	5	0.297333333333333	0.1008	0.101533333333333	0.0862	0.3334	0.3362	0.4958	0.231	0.451466666666667	0.473	0.297866666666667
Same θ	Alternating D	7	0.378533333333333	0.0233333333333333	0.0263333333333333	0.0139333333333333	0.264266666666667	0.281133333333333	0.4636	0.139333333333333	0.417666666666667	0.4392	0.369666666666667
Same θ	Alternating D	10	0.361933333333333	0.0018	0.002	0.000333333333333333	0.184533333333333	0.191933333333333	0.410133333333333	0.0712666666666667	0.339266666666667	0.364666666666667	0.432533333333333
Same θ	Alternating D	15	0.3694	0	0	0.00333333333333334	0.110466666666667	0.109866666666667	0.435466666666667	0.0278666666666667	0.352333333333333	0.366733333333333	0.434066666666667
Same θ	Alternating D	20	0.3726	0	0	0	0.0675333333333333	0.0663333333333333	0.403933333333333	0.0110666666666667	0.3334	0.3472	0.4202
Same θ	Alternating D	30	0.3648	0	0	0.00333333333333334	0.0243333333333333	0.0252666666666667	0.395	0.0046	0.333333333333333	0.3434	0.400666666666667
Same θ	Alternating D	40	0.361133333333333	0	0	0	0.0074	0.00813333333333333	0.386933333333333	0.000133333333333333	0.333333333333333	0.335066666666667	0.385066666666667
Same θ	Alternating D	50	0.354866666666667	0	0	0.00333333333333334	0.00193333333333333	0.00173333333333333	0.403333333333333	0.0034	0.333333333333333	0.335	0.3784
Different θ	Same D	1	0.5136	0.460333333333333	0.4574	0.463133333333333	0.4784	0.4844	0.528466666666667	0.476266666666667	0.475466666666667	0.4736	0.475466666666667
Different θ	Same D	2	0.429333333333333	0.3914	0.368066666666667	0.377533333333333	0.4564	0.462266666666667	0.4986	0.3996	0.471666666666667	0.388133333333333	0.422933333333333
Different θ	Same D	3	0.329333333333333	0.3034	0.287666666666667	0.296733333333333	0.398466666666667	0.403266666666667	0.443933333333333	0.3286	0.444266666666667	0.340333333333333	0.355466666666667
Different θ	Same D	5	0.263666666666667	0.166866666666667	0.163533333333333	0.180466666666667	0.279066666666667	0.288666666666667	0.4106	0.224266666666667	0.443866666666667	0.2838	0.239066666666667
Different θ	Same D	7	0.246933333333333	0.107466666666667	0.110333333333333	0.1074	0.204	0.2168	0.401333333333333	0.1496	0.4876	0.267066666666667	0.170533333333333
Different θ	Same D	10	0.190466666666667	0.0557333333333333	0.0478	0.0516	0.133866666666667	0.1358	0.397866666666667	0.082	0.489066666666667	0.229666666666667	0.102533333333333
Different θ	Same D	15	0.135733333333333	0.0172	0.0173333333333333	0.0206666666666667	0.0688666666666667	0.0702	0.366866666666667	0.037	0.490466666666667	0.167933333333333	0.05
Different θ	Same D	20	0.124266666666667	0.00806666666666667	0.00806666666666667	0.00813333333333333	0.0366666666666667	0.0378	0.353933333333333	0.0137333333333333	0.4996	0.1514	0.0222666666666667
Different θ	Same D	30	0.0796666666666667	0.00273333333333333	0.00273333333333333	0.00266666666666667	0.0172	0.0141333333333333	0.283466666666667	0.00466666666666667	0.4728	0.0934	0.0088
Different θ	Same D	40	0.0694	0.000333333333333334	0.000333333333333334	0.000333333333333334	0.00626666666666667	0.00633333333333333	0.2886	0.00233333333333333	0.461333333333333	0.0802666666666667	0.00373333333333333
Different θ	Same D	50	0.0660666666666667	2e-04	0.000266666666666667	0.00686666666666666	0.0032	0.00253333333333333	0.252	0.00726666666666667	0.4978	0.0526	0.00113333333333333
Different θ	Different D	1	0.517666666666667	0.460333333333333	0.4574	0.463133333333333	0.4784	0.4844	0.528466666666667	0.476266666666667	0.475466666666667	0.4736	0.475466666666667
Different θ	Different D	2	0.366266666666667	0.349066666666667	0.3432	0.341933333333333	0.437466666666667	0.432133333333333	0.4834	0.3774	0.422133333333333	0.435333333333333	0.388133333333333
Different θ	Different D	3	0.251533333333333	0.262333333333333	0.2522	0.249533333333333	0.3616	0.377	0.455133333333333	0.288266666666667	0.372733333333333	0.458066666666667	0.305933333333333
Different θ	Different D	5	0.138133333333333	0.1498	0.154066666666667	0.143133333333333	0.269733333333333	0.283066666666667	0.431	0.207	0.388666666666667	0.407333333333333	0.206133333333333
Different θ	Different D	7	0.0488	0.0447333333333333	0.044	0.0349333333333333	0.154466666666667	0.168066666666667	0.4222	0.086	0.357666666666667	0.276933333333333	0.0958666666666667
Different θ	Different D	10	0.0289333333333333	0.0314666666666667	0.0273333333333333	0.0231333333333333	0.1082	0.110066666666667	0.381133333333333	0.0553333333333333	0.351266666666667	0.188533333333333	0.0636666666666667
Different θ	Different D	15	0.0154666666666667	0.0103333333333333	0.0124666666666667	0.0195333333333333	0.0582	0.0576666666666667	0.344733333333333	0.0344666666666667	0.346266666666667	0.0860666666666667	0.025
Different θ	Different D	20	0.002	2e-04	2e-04	0.00353333333333333	0.0178666666666667	0.0215333333333333	0.271466666666667	0.00886666666666667	0.366	0.0182	0.00493333333333333
Different θ	Different D	30	6e-04	0	0	0	0.0036	0.00366666666666667	0.224333333333333	6e-04	0.3036	6e-04	0.000533333333333333
Different θ	Different D	40	4e-04	0	0	0	6e-04	0.00113333333333333	0.242133333333333	6.66666666666668e-05	0.344266666666667	0	0
Different θ	Different D	50	0.000333333333333333	0	0	0.00333333333333333	0	0	0.188933333333333	0.00333333333333333	0.307	0	0
Different θ	Alternating D	1	0.47	0.401666666666667	0.3942	0.392666666666667	0.439333333333333	0.429266666666667	0.525466666666667	0.409466666666667	0.4108	0.408466666666667	0.4108
Different θ	Alternating D	2	0.349333333333333	0.331933333333333	0.338466666666667	0.328866666666667	0.430866666666667	0.4244	0.528533333333333	0.3492	0.476333333333333	0.500533333333333	0.3524
Different θ	Alternating D	3	0.345133333333333	0.283066666666667	0.277666666666667	0.262933333333333	0.3778	0.379333333333333	0.5168	0.300666666666667	0.480333333333333	0.4902	0.3048
Different θ	Alternating D	5	0.3014	0.180333333333333	0.1674	0.152466666666667	0.2838	0.295133333333333	0.543466666666667	0.1954	0.5444	0.487733333333333	0.3022
Different θ	Alternating D	7	0.264933333333333	0.0984666666666667	0.0907333333333333	0.0729333333333333	0.204733333333333	0.217666666666667	0.566266666666667	0.114333333333333	0.5668	0.487466666666667	0.3614
Different θ	Alternating D	10	0.246866666666667	0.0179333333333333	0.0240666666666667	0.0178666666666667	0.123333333333333	0.122933333333333	0.560333333333333	0.0544666666666667	0.5508	0.470333333333333	0.404066666666667
Different θ	Alternating D	15	0.231733333333333	0.00406666666666667	0.0064	0.0012	0.0678	0.0646	0.556466666666667	0.0193333333333333	0.564733333333333	0.4552	0.431866666666667
Different θ	Alternating D	20	0.2166	0	0	0.00666666666666667	0.0303333333333333	0.0308666666666667	0.5402	0.0118	0.5494	0.442066666666667	0.422933333333333
Different θ	Alternating D	30	0.158266666666667	0	0	0.00333333333333334	0.00873333333333333	0.0072	0.540733333333333	0.00426666666666667	0.553066666666667	0.433333333333333	0.4154
Different θ	Alternating D	40	0.178333333333333	0	0	0.00666666666666667	0.00126666666666667	0.0016	0.527733333333333	0.00673333333333334	0.559066666666667	0.421733333333333	0.423533333333333
