parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
0.0133333333333333	Bias-adjusted SoS	0.4753	0.0768	0.1168	0.0678	0.1132	0.077
0.0133333333333333	DC-MASE	0.6055	0.0253	0.0154	0.0119	0.0024	0.0114
0.0133333333333333	MASE	0.5762	0.0367	0.0327	0.0228	0.0217	0.0246
0.0133333333333333	OLMF	0.0503	0.0498	0.8275	0.0896	0.8628	0.0949
0.0133333333333333	Sum A	0.0351	0.0145	0.8613	0.051	0.8971	0.0411
0.0133333333333333	graph-tool	0.4898	0.1377	0.1626	0.2021	0.1475	0.207
0.0133333333333333	mFROST	0.5964	0.0327	0.0207	0.0179	0.0088	0.0192
0.0266666666666667	Bias-adjusted SoS	0.1013	0.046	0.6717	0.1108	0.7239	0.1096
0.0266666666666667	DC-MASE	0.5212	0.0573	0.0775	0.0529	0.0685	0.0563
0.0266666666666667	MASE	0.4243	0.0905	0.1765	0.0927	0.178	0.1052
0.0266666666666667	OLMF	0.039	0.1041	0.9411	0.1359	0.9307	0.1759
0.0266666666666667	Sum A	0.0019	0.0033	0.9916	0.0147	0.9944	0.0099
0.0266666666666667	graph-tool	0.0202	0.069	0.9606	0.0968	0.9612	0.1134
0.0266666666666667	mFROST	0.5139	0.0998	0.1189	0.1431	0.1072	0.1395
0.04	Bias-adjusted SoS	0.0155	0.0103	0.9354	0.0396	0.954	0.0301
0.04	DC-MASE	0.2445	0.092	0.4035	0.1194	0.4361	0.1402
0.04	MASE	0.1585	0.0836	0.5685	0.1339	0.6093	0.1488
0.04	OLMF	0.0534	0.1228	0.932	0.1558	0.9105	0.2055
0.04	Sum A	0	0	1	0	1	0
0.04	graph-tool	7e-04	0.0048	0.9975	0.0141	0.9979	0.0137
0.04	mFROST	0.1125	0.1585	0.8285	0.2378	0.8074	0.2656
0.0533333333333333	Bias-adjusted SoS	0.0017	0.0032	0.9925	0.0143	0.995	0.0096
0.0533333333333333	DC-MASE	0.0593	0.0453	0.7943	0.0989	0.836	0.0937
0.0533333333333333	MASE	0.0252	0.0242	0.9027	0.0764	0.9268	0.0665
0.0533333333333333	OLMF	0.0633	0.1314	0.9201	0.1658	0.8942	0.2195
0.0533333333333333	Sum A	0	0	1	0	1	0
0.0533333333333333	graph-tool	0.0033	0.0333	0.9958	0.0421	0.9944	0.056
0.0533333333333333	mFROST	1e-04	7e-04	0.9997	0.003	0.9998	0.002
0.0666666666666667	Bias-adjusted SoS	2e-04	0.0011	0.9991	0.0051	0.9994	0.0034
0.0666666666666667	DC-MASE	0.0145	0.0346	0.9486	0.0588	0.9624	0.0529
0.0666666666666667	MASE	0.0025	0.0046	0.989	0.0193	0.9924	0.0137
0.0666666666666667	OLMF	0.05	0.1196	0.9369	0.1509	0.917	0.1987
0.0666666666666667	Sum A	0	0	1	0	1	0
0.0666666666666667	graph-tool	0	0	1	0	1	0
0.0666666666666667	mFROST	0	0	1	0	1	0
0.08	Bias-adjusted SoS	0	0	1	0	1	0
